49162828 | READER_22420 | START
49162828 | READER_22420 | WAIT_READ | PAGE 3
49162934 | READER_22420 | WAIT_READ | PAGE 4
49163046 | READER_22420 | WAIT_READ | PAGE 5
49163157 | READER_22420 | WAIT_READ | PAGE 6
49163269 | READER_22420 | WAIT_READ | PAGE 7
49163381 | READER_22420 | WAIT_READ | PAGE 8
49163493 | READER_22420 | WAIT_READ | PAGE 0
49163605 | READER_22420 | WAIT_READ | PAGE 1
49163621 | READER_22420 | READING | PAGE 1
49165026 | READER_22420 | RELEASE | PAGE 1
49165026 | READER_22420 | WAIT_READ | PAGE 2
49165138 | READER_22420 | WAIT_READ | PAGE 3
49165138 | READER_22420 | READING | PAGE 3
49165747 | READER_22420 | RELEASE | PAGE 3
49165747 | READER_22420 | WAIT_READ | PAGE 4
49165747 | READER_22420 | READING | PAGE 4
49166933 | READER_22420 | RELEASE | PAGE 4
49166933 | READER_22420 | WAIT_READ | PAGE 5
49166933 | READER_22420 | READING | PAGE 5
49167620 | READER_22420 | RELEASE | PAGE 5
49167620 | READER_22420 | WAIT_READ | PAGE 6
49167620 | READER_22420 | READING | PAGE 6
49168229 | READER_22420 | LAST_READER | PAGE 6
49168229 | READER_22420 | RELEASE | PAGE 6
49168229 | READER_22420 | WAIT_READ | PAGE 7
49168229 | READER_22420 | READING | PAGE 7
49169462 | READER_22420 | RELEASE | PAGE 7
49169462 | READER_22420 | WAIT_READ | PAGE 8
49170214 | READER_22420 | READING | PAGE 8
49170918 | READER_22420 | RELEASE | PAGE 8
49170918 | READER_22420 | WAIT_READ | PAGE 0
49172005 | READER_22420 | READING | PAGE 0
49173332 | READER_22420 | LAST_READER | PAGE 0
49173332 | READER_22420 | RELEASE | PAGE 0
49173332 | READER_22420 | WAIT_READ | PAGE 1
49174002 | READER_22420 | READING | PAGE 1
49174671 | READER_22420 | RELEASE | PAGE 1
49174671 | READER_22420 | WAIT_READ | PAGE 2
49174752 | READER_22420 | READING | PAGE 2
49175976 | READER_22420 | LAST_READER | PAGE 2
49175976 | READER_22420 | RELEASE | PAGE 2
49175976 | READER_22420 | WAIT_READ | PAGE 3
49176833 | READER_22420 | READING | PAGE 3
