49162656 | WRITER_20552 | START
49162656 | WRITER_20552 | WRITING | PAGE 0
49163960 | WRITER_20552 | WRITE_DONE | PAGE 0
49169804 | WRITER_20552 | WRITING | PAGE 6
49171163 | WRITER_20552 | WRITE_DONE | PAGE 6
49173353 | WRITER_20552 | WRITING | PAGE 0
49174851 | WRITER_20552 | WRITE_DONE | PAGE 0
49175996 | WRITER_20552 | WRITING | PAGE 2
49177094 | WRITER_20552 | WRITE_DONE | PAGE 2
49178470 | WRITER_20552 | WRITING | PAGE 6
49179029 | WRITER_20552 | WRITE_DONE | PAGE 6
49179142 | WRITER_20552 | WRITING | PAGE 8
49180279 | WRITER_20552 | WRITE_DONE | PAGE 8
49181337 | WRITER_20552 | WRITING | PAGE 6
49181945 | WRITER_20552 | WRITE_DONE | PAGE 6
49182345 | WRITER_20552 | WRITING | PAGE 7
49183564 | WRITER_20552 | WRITE_DONE | PAGE 7
49184636 | WRITER_20552 | WRITING | PAGE 0
49185354 | WRITER_20552 | WRITE_DONE | PAGE 0
49188858 | WRITER_20552 | WRITING | PAGE 4
49189867 | WRITER_20552 | WRITE_DONE | PAGE 4
49193376 | WRITER_20552 | WRITING | PAGE 8
49194032 | WRITER_20552 | WRITE_DONE | PAGE 8
49194673 | WRITER_20552 | WRITING | PAGE 3
49196161 | WRITER_20552 | WRITE_DONE | PAGE 3
49196463 | WRITER_20552 | WRITING | PAGE 0
49197136 | WRITER_20552 | WRITE_DONE | PAGE 0
49202574 | WRITER_20552 | FINISHED
